Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99959,99921,99884,99848,99813,99780,99748,99716,99686,99658,99635,99616,99603,99592,99585,99579,99575,99571,99568,99565,99563,99559,99555,99548,99537,99516,99473,99361,98985,99008,99030,99051,99073,99093,99114,99133,99153,99172
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99958,99919,99881,99845,99810,99776,99744,99713,99682,99652,99625,99602,99585,99572,99563,99556,99551,99547,99544,99542,99539,99537,99534,99530,99524,99514,99494,99451,99340,98964,98987,99010,99032,99053,99075,99095,99115,99135,99155
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99957,99917,99878,99841,99806,99772,99739,99708,99677,99647,99618,99592,99570,99553,99541,99532,99526,99522,99519,99517,99515,99513,99512,99509,99506,99500,99490,99471,99428,99318,98943,98966,98990,99012,99034,99056,99077,99097,99118,99137
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99956,99914,99874,99837,99801,99767,99734,99702,99671,99641,99612,99584,99559,99538,99522,99510,99502,99497,99493,99490,99489,99488,99487,99486,99484,99481,99476,99467,99448,99406,99296,98921,98946,98969,98992,99015,99037,99058,99079,99100,99120
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99954,99911,99870,99832,99795,99760,99727,99695,99664,99634,99605,99577,99549,99525,99504,99489,99478,99471,99466,99463,99462,99461,99460,99460,99459,99458,99456,99452,99443,99424,99383,99274,98900,98924,98948,98972,98995,99017,99039,99061,99082,99102
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99952,99907,99865,99825,99788,99752,99718,99686,99655,99625,99596,99568,99541,99514,99490,99471,99456,99446,99440,99436,99433,99432,99432,99432,99432,99433,99432,99431,99427,99418,99401,99360,99251,98878,98903,98927,98951,98975,98998,99020,99042,99063,99084
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99950,99903,99859,99818,99779,99743,99708,99676,99644,99614,99585,99557,99530,99503,99478,99455,99436,99422,99413,99407,99404,99402,99402,99402,99403,99404,99405,99405,99404,99401,99393,99376,99336,99228,98855,98881,98906,98930,98954,98977,99000,99023,99044,99066
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99947,99897,99852,99809,99769,99732,99697,99663,99631,99601,99572,99544,99517,99490,99465,99440,99418,99400,99387,99379,99374,99371,99370,99371,99372,99374,99375,99377,99378,99377,99375,99367,99351,99311,99204,98831,98858,98883,98908,98932,98956,98980,99003,99025,99047
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99943,99891,99843,99799,99757,99719,99683,99648,99616,99585,99556,99528,99501,99475,99449,99425,99401,99380,99363,99351,99343,99339,99337,99337,99338,99340,99343,99345,99347,99349,99349,99347,99340,99324,99285,99178,98807,98834,98860,98885,98910,98935,98958,98982,99004,99027
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99939,99884,99833,99786,99743,99703,99666,99631,99598,99567,99537,99509,99482,99456,99431,99407,99383,99360,99340,99324,99313,99306,99303,99302,99303,99304,99307,99310,99313,99316,99318,99319,99318,99312,99297,99258,99152,98781,98809,98835,98861,98887,98912,98936,98960,98983,99006
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99934,99875,99821,99772,99727,99685,99646,99610,99577,99545,99515,99487,99459,99434,99409,99385,99362,99339,99317,99298,99283,99273,99267,99264,99264,99266,99269,99272,99276,99280,99284,99287,99288,99288,99283,99268,99230,99124,98754,98782,98809,98836,98862,98888,98913,98937,98961,98984
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99929,99865,99807,99755,99707,99663,99623,99586,99551,99519,99488,99460,99433,99407,99382,99358,99336,99314,99292,99271,99253,99239,99230,99225,99224,99224,99227,99231,99235,99240,99244,99249,99253,99255,99255,99251,99237,99200,99095,98726,98754,98782,98809,98836,98862,98888,98912,98937,98961
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99922,99852,99790,99734,99683,99637,99595,99557,99521,99488,99457,99428,99401,99375,99350,99327,99305,99283,99262,99242,99222,99205,99192,99184,99180,99180,99182,99185,99190,99195,99201,99206,99212,99216,99220,99221,99217,99204,99167,99063,98695,98724,98753,98781,98808,98835,98861,98886,98911,98936
