Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99969,99939,99910,99882,99855,99829,99804,99778,99754,99729,99705,99681,99657,99634,99615,99598,99584,99572,99562,99553,99544,99536,99529,99522,99514,99506,99498,99487,99474,99455,99419,99338,99078,99080,99082,99083,99085,99087,99088,99090,99091,99093
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99967,99936,99906,99878,99850,99823,99797,99772,99747,99722,99697,99673,99649,99626,99603,99583,99567,99553,99541,99531,99522,99513,99506,99498,99491,99484,99476,99467,99457,99444,99425,99389,99308,99049,99050,99052,99054,99056,99057,99059,99061,99062,99064
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99965,99933,99902,99872,99843,99816,99789,99763,99738,99713,99688,99664,99640,99616,99592,99570,99550,99534,99520,99508,99498,99489,99481,99474,99466,99459,99452,99444,99436,99426,99413,99393,99358,99277,99018,99019,99021,99023,99025,99027,99028,99030,99032,99034
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99963,99929,99896,99865,99836,99807,99780,99753,99727,99702,99677,99653,99629,99605,99581,99557,99535,99516,99499,99485,99474,99464,99455,99447,99439,99432,99425,99418,99410,99402,99392,99379,99360,99325,99244,98985,98987,98989,98991,98993,98994,98996,98998,99000,99002
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99961,99924,99890,99857,99826,99797,99769,99741,99715,99689,99664,99639,99615,99591,99567,99544,99520,99498,99479,99462,99449,99437,99427,99419,99411,99403,99396,99389,99382,99375,99366,99357,99344,99325,99290,99209,98950,98952,98954,98956,98958,98960,98962,98964,98966,98968
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99958,99918,99882,99848,99815,99785,99756,99727,99700,99674,99648,99623,99599,99575,99551,99527,99504,99480,99458,99439,99423,99409,99398,99388,99380,99372,99365,99358,99351,99344,99337,99328,99319,99306,99287,99252,99172,98913,98915,98918,98920,98922,98924,98926,98928,98930,98932
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99954,99912,99873,99836,99802,99770,99740,99711,99683,99656,99630,99604,99579,99555,99531,99507,99484,99460,99437,99415,99396,99380,99367,99356,99346,99338,99330,99323,99316,99309,99303,99296,99288,99278,99266,99247,99212,99132,98873,98876,98878,98880,98883,98885,98887,98890,98892,98894
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99950,99904,99862,99823,99787,99753,99721,99691,99662,99634,99607,99581,99556,99531,99507,99483,99460,99436,99413,99390,99368,99350,99334,99321,99310,99300,99292,99285,99278,99271,99265,99258,99251,99243,99234,99222,99203,99169,99089,98831,98833,98836,98838,98841,98843,98846,98848,98851,98853
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99944,99894,99848,99807,99768,99732,99698,99667,99637,99608,99580,99554,99528,99503,99478,99454,99431,99407,99384,99361,99339,99317,99299,99283,99270,99259,99250,99242,99235,99228,99222,99216,99209,99203,99195,99186,99174,99155,99121,99042,98784,98787,98789,98792,98795,98798,98800,98803,98806,98808
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99938,99882,99832,99787,99745,99707,99671,99638,99607,99577,99548,99521,99495,99469,99444,99420,99396,99373,99350,99327,99304,99282,99261,99242,99227,99214,99204,99195,99187,99180,99174,99168,99162,99156,99149,99142,99133,99122,99103,99070,98990,98733,98736,98739,98742,98745,98748,98751,98754,98757,98760
